

Starting up round 14:54:33
---------------------
[15:00:25]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=observe
[15:00:26]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=observe
[15:00:33]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:00:34]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:00:39]HREF: 15:00 Das228 (usr:Das228) || Das228 src=[0x3000091];lobby_choice=late_join
[15:00:40]HREF: 15:00 Das228 (usr:Das228) || Das228 src=[0x3000091];lobby_choice=observe
[15:00:41]HREF: 15:00 Das228 (usr:Das228) || Das228 src=[0x3000091];lobby_choice=observe
[15:00:41]HREF: 15:00 Das228 (usr:Das228) || Das228 src=[0x3000091];lobby_choice=observe
[15:00:41]HREF: 15:00 Artyuom (usr:Johnny Vietnam (as Prison Guard)) || Prison Guard src=[0x3000021];item=body
[15:00:46]HREF: 15:00 BlackCrystalic (usr:BlackCrystalic) || BlackCrystalic src=[0x3000062];lobby_choice=observe
[15:00:50]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:00:53]HREF: 15:00 Artyuom (usr:Johnny Vietnam (as Prison Guard)) || Prison Guard src=[0x3000021];item=feet
[15:01:00]HREF: 15:01 Artyuom (usr:Johnny Vietnam (as Prison Guard)) || Prison Guard src=[0x3000021];item=head
[15:01:04]HREF: 15:01 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=observe
[15:01:05]HREF: 15:01 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join_xeno
[15:01:06]HREF: 15:01 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join_xeno
[15:01:11]HREF: 15:01 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:01:11]HREF: 15:01 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:01:15]HREF: 15:01 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:02:05]HREF: 15:02 EngineerConager (usr:Dell Conrad) || The communications console src=[0x2016d1a];operation=login
[15:02:06]HREF: 15:02 EngineerConager (usr:Dell Conrad) || The communications console src=[0x2016d1a];operation=announce
[15:02:08]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=late_join
[15:02:11]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=late_join
[15:02:21]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=late_join
[15:02:26]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=late_join
[15:02:28]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=observe
[15:02:28]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=observe
[15:02:28]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=observe
[15:02:29]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=observe
[15:02:30]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=observe
[15:02:34]HREF: 15:02 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=observe
[15:03:52]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment=1
[15:03:52]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment=1
[15:03:53]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment=1
[15:03:53]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment=1
[15:03:54]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment=1
[15:03:55]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:03:55]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:03:57]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:03:57]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:03:57]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:03:59]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:03:59]HREF: 15:03 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:04:00]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:04:01]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:04:02]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];open=1
[15:04:05]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];retrieve=[0x2017aca]
[15:04:08]HREF: 15:04 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x3000097];lobby_choice=observe
[15:04:12]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];retrieve=[0x2017ab5]
[15:04:15]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];retrieve=[0x2017abe]
[15:04:18]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];retrieve=[0x2017ab4]
[15:04:20]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];open=1
[15:04:21]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment=1
[15:04:22]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The safe src=[0x2017ab2];increment2=1
[15:04:44]HREF: 15:04 EngineerConager (usr:Dell Conrad) || The clipboard src=[0x2017991];addpen=1
[15:04:58]HREF: 15:04 Fogusin (usr:Fogusin) || Fogusin src=[0x300009a];lobby_choice=show_preferences
[15:05:10]HREF: 15:05 KluexTheSunborn (usr:Bob Ross) || /datum/controller/vote src=[0x21000002];vote=close
[15:05:11]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2017026];operation=change_operator
[15:05:12]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2017026];operation=pick_squad
[15:05:14]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2016e1d];operation=change_operator
[15:05:15]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2016e1d];operation=pick_squad
[15:05:19]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2017026];operation=monitor
[15:05:20]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2017026];operation=back
[15:05:22]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2016e1d];operation=monitor
[15:05:24]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2016e1d];operation=back
[15:05:26]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2016e1d];operation=change_lead
[15:05:29]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2017026];operation=monitor
[15:05:30]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2017026];operation=back
[15:05:31]HREF: 15:05 EngineerConager (usr:Dell Conrad) || Overwatch Console src=[0x2017026];operation=change_lead
[15:06:05]HREF: 15:06 Fogusin (usr:Fogusin) || Fogusin src=[0x300009c];lobby_choice=show_preferences
[15:06:07]HREF: 15:06 Fogusin (usr:Fogusin) || Fogusin src=[0x300009c];lobby_choice=manifest
[15:09:39]HREF: 15:09 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c716];scan=1
[15:09:39]HREF: 15:09 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c716];auth=1
[15:09:51]HREF: 15:09 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c716];scan=1
